"Year","MLT production EXIOBASE 3.8.2","MLT production WIOD2016","MLT production OECDv2","MLT production Eora 199.082 (2023)","MLT production FIGARO April 2022","MLT production GCB 2023v26","MLT production Eurostat NAMEA","MLT consumption EXIOBASE 3.8.2","MLT consumption WIOD2016","MLT consumption OECDv2","MLT consumption Eora 199.082 (2023)","MLT consumption FIGARO April 2022","MLT consumption GCB 2023v26","MLT net_trade EXIOBASE 3.8.2","MLT net_trade WIOD2016","MLT net_trade OECDv2","MLT net_trade Eora 199.082 (2023)","MLT net_trade FIGARO April 2022","MLT net_trade GCB 2023v26"
1995,2.846853,,2.341057,2.510000,,2.452126,2.708807,3.029543,,2.409602,3.365327,,3.726705,0.182691,,0.068545,0.855327,,1.274579
1996,2.829072,,2.300332,2.470000,,2.533947,2.816136,3.737280,,2.465065,3.052672,,3.856514,0.908208,,0.164733,0.582672,,1.322567
1997,2.961580,,2.434881,2.520000,,2.556249,2.837338,3.566826,,2.420262,3.252644,,3.627986,0.605246,,-0.014619,0.732644,,1.071737
1998,2.862473,,2.335449,2.520000,,2.524936,2.782255,3.151925,,2.357292,3.352332,,4.762854,0.289452,,0.021843,0.832332,,2.237918
1999,2.896490,,2.387499,2.570000,,2.572865,2.866544,3.501302,,2.440197,3.411058,,4.196960,0.604812,,0.052698,0.841058,,1.624095
2000,2.642093,3.236620,2.110563,2.560000,,2.468153,2.771557,3.702755,4.501992,2.467776,3.486986,,4.607071,1.060662,1.265372,0.357213,0.926986,,2.138918
2001,3.039349,3.159193,2.469822,2.460000,,2.736559,2.875465,3.539844,4.332032,2.552908,3.264636,,4.818650,0.500495,1.172839,0.083086,0.804636,,2.082091
2002,2.837060,3.247661,2.299683,2.460000,,2.747227,2.897872,3.738898,4.105855,2.253274,3.263471,,5.064464,0.901839,0.858194,-0.046408,0.803471,,2.317237
2003,3.081086,3.505754,2.577363,2.660000,,2.960833,3.169853,3.974658,4.383292,2.833720,3.427965,,4.460490,0.893571,0.877538,0.256357,0.767965,,1.499657
2004,3.098938,3.471064,2.580125,2.580000,,2.849056,3.035292,4.112201,4.022661,2.844723,3.429665,,4.303925,1.013262,0.551597,0.264599,0.849665,,1.454869
2005,3.197285,3.296506,2.711420,2.640000,,2.656658,2.855594,4.319122,4.081036,2.918877,3.472016,,3.296458,1.121837,0.784530,0.207457,0.832016,,0.639800
2006,3.031914,3.389221,2.586242,2.650000,,2.667484,2.871405,4.308018,4.107969,2.848488,3.613258,,3.856500,1.276104,0.718748,0.262246,0.963258,,1.189016
2007,3.153804,3.548216,2.726657,2.730000,,2.731439,2.953649,4.377962,4.113939,2.513187,3.703772,,4.735348,1.224158,0.565723,-0.213470,0.973772,,2.003910
2008,2.982723,3.676049,2.571023,2.800000,,2.690432,2.967985,4.062590,4.103759,2.628287,3.788866,,5.916150,1.079867,0.427710,0.057263,0.988866,,3.225718
2009,2.845999,3.611258,2.457838,2.560000,,2.526344,2.748223,4.715334,4.199525,2.430559,3.515193,,4.640208,1.869335,0.588267,-0.027279,0.955193,,2.113865
2010,2.950822,3.901736,2.481427,2.570000,2.933993,2.602794,2.828644,5.092568,4.371299,2.709312,3.574858,5.342932,5.906664,2.141746,0.469563,0.227884,1.004858,2.408939,3.303870
2011,2.963629,3.856728,2.477534,2.640000,2.940969,2.583914,2.836966,4.413267,3.983550,2.602986,3.618827,4.739855,8.145602,1.449638,0.126822,0.125451,0.978827,1.798886,5.561688
2012,3.087996,3.903805,,2.820000,3.107338,2.717043,2.981987,3.981014,4.000530,,4.016087,4.529705,7.951960,0.893018,0.096725,,1.196087,1.422367,5.234917
2013,2.758753,3.571426,,2.480000,2.809122,2.379249,2.660064,4.052168,3.670720,,3.459177,4.280824,6.489317,1.293416,0.099294,,0.979177,1.471702,4.110068
2014,2.746967,3.634278,,2.470000,2.835287,2.364416,2.663438,4.164772,3.521252,,3.375593,4.326967,7.611563,1.417804,-0.113026,,0.905593,1.491680,5.247147
2015,2.061802,,,1.760000,2.146818,1.665293,1.963134,5.471614,,,2.777137,3.921928,8.427329,3.409812,,,1.017137,1.775110,6.762035
2016,1.707549,,,1.460000,1.759651,1.356298,1.631485,3.946072,,,2.189057,3.727408,9.175117,2.238523,,,0.729057,1.967757,7.818818
2017,1.248460,,,1.650000,1.970673,1.530839,1.823466,4.396002,,,2.212892,3.354001,8.762214,3.147542,,,0.562892,1.383328,7.231376
2018,1.247274,,,0.751556,2.049742,1.546735,1.895719,4.700406,,,2.630743,3.358777,10.330814,3.453132,,,1.879187,1.309035,8.784080
2019,1.264428,,,0.461764,2.224805,1.648764,2.034415,4.416666,,,2.437540,3.912495,9.798116,3.152238,,,1.975776,1.687690,8.149352
2020,1.317403,,,0.217020,1.726395,1.597200,1.770987,4.717654,,,2.502761,4.300668,8.440718,3.400252,,,2.285741,2.574273,6.843517
2021,1.479931,,,0.017449,,1.606727,1.757524,2.432541,,,2.426307,,10.236846,0.952610,,,2.408858,,8.630118
2022,1.394864,,,1.650000,,,,2.275641,,,2.737661,,,0.880777,,,1.087661,,
